['VCVCU na na na 891099.0000']
['TXG 146.6830 na na na']
['YI na na na na']
['YQ na na na na']
['TURN na na na na']
['ATNF na na na na']
['ATNFW na na na na']
['FLWS na na na na']
['BCOW na na na na']
['ONEM na na na na']
['FCCY na na na na']
['SRCE na na na na']
['VNET na na na na']
['TWOU na na na na']
['QFIN na na na na']
['KRKR na na na na']
['FDMT na na na na']
['FVAM na na na na']
['JOBS na na na na']
['VIIAU na na na na']
['ETNB na na na na']
['EGHT na na na na']
['NMTR na na na na']
['MASS na na na na']
['JFU na na na na']
['AAON na na na na']
['ABCM na na na na']
['ABCL na na na na']
['ABEO na na na na']
['ABMD na na na na']
['AXAS na na na na']
['ABST na na na na']
['ACIU na na na na']
['ACIA na na na na']
['ACTG na na na na']
['ASO na na na na']
['ACHC na na na na']
['ACAD na na na na']
['ACAM na na na na']
['ACAMU na na na na']
['ACAMW na na na na']
['ACST na na na na']
['AXDX na na na na']
['ACCP na na na na']
['XLRN na na na na']
['ACCD na na na na']
['ARAY na na na na']
['ACEV na na na na']
['ACEVU na na na na']
['ACEVW na na na na']
['ACLL na na na na']
['ACRX na na na na']
['ACER na na na na']
['ACHV na na na na']
['ACIW na na na na']
['ACAC na na na na']
['ACACU na na na na']
['ACACW na na na na']
['ACKIU na na na na']
['ACRS na na na na']
['ACMR na na na na']
['ACNB na na na na']
['STWO na na na na']
['STWOU na na na na']
['STWOW na na na na']
['ACOR na na na na']
['ATVI na na na na']
['AFIB na na na na']
['ADMS na na na na']
['ADMP na na na na']
['AHCO na na na na']
['ADAP na na 39.7196 154759497.0000']
['ADPT 50.5167 3.9397 70.8549 90846352.0000']
['ADXN 11.7030 0.4044 58.0257 na']
['ADUS na na na na']
['AEY na na na na']
['ADIL na na na na']
['ADILW na na na na']
['ACET na na na na']
['ADTX na na na na']
['ADMA na na na na']
['ADBE na na na na']
['ADTN na na na na']
['ADES na na na na']
['AEIS na na na na']
['AMD na na na na']
['ADV na na na na']
['ADVWW na na na na']
['ADXS na na na na']
['ADVM na na na na']
['DWEQ na na na na']
['DWAW na na na na']
['DWUS na na na na']
['DWMC na na na na']
['DWSH na na na na']
['AEGN na na na na']
['AGLE na na na na']
['AEHR na na na na']
['AMTX na na na na']
['ARBGU na na na na']
['AERI na na na na']
['AVAV na na na na']
['ARPO na na na na']
['ASLE na na na na']
['ASLEW na na na na']
['AIH na na na na']
['AEZS na na na na']
['AEMD na na na na']
['AFMD na na na na']
['AFYA na na na na']
['AGBA na na na na']
['AGBAR na na na na']
['AGBAU na na na na']
['AGBAW na na na na']
['AGEN na na na na']
['AGRX na na na na']
['AGYS na na na na']
['AGIO na na na na']
['AGMH na na na na']
['AGNC na na na na']
['AGNCM na na na na']
['AGNCN na na na na']
['AGNCO na na na na']
['AGNCP na na na na']
['API na na na na']
['AGFS na na na na']
['AIKI na na na na']
['ALRN na na na na']
['AIRT na na na na']
['AIRTP na na na na']
['AIRTW na na na na']
['ATSG na na na na']
['ABNB na na na na']
['AIRG na na na na']
['ANTE na na na na']
['AKAM na na na na']
['AKTX na na na na']
['AKBA na na na na']
['KERN na na na na']
['KERNW na na na na']
['AKRO na na na na']
['AKER na na na na']
['AKUS na na na na']
['AKTS na na na na']
['AKU na na na na']
['ALRM na na na na']
['ALSK na na na na']
['ALAC na na na na']
['ALACR na na na na']
['ALACU na na na na']
['ALACW na na na na']
['ALBO na na na na']
['ALDX na na na na']
['ALEC na na na na']
['ALRS na na na na']
['ALXN na na na na']
['ALCO na na na na']
['ALIT na na na na']
['ALGN na na na na']
['ALGS na na na na']
['ALIM na na na na']
['ALYA na na na na']
['ALJJ na na na na']
['ALKS na na na na']
['ALLK na na na na']
['ABTX na na na na']
['ALGT na na na na']
['ALGM na na na na']
['ALNA na na na na']
['ARLP na na na na']
['LNT na na na na']
['AESE na na na na']
['AHPI na na na na']
['AMOT na na na na']
['ALLO na na na na']
['ALLT na na na na']
['ALVR na na na na']
['MDRX na na na na']
['ALNY na na na na']
['AOSL na na na na']
['AHAC na na na 257741.0000']
['AHACU 10.0060 0.1248 78.5785 1164241.0000']
['AHACW na na na na']
['GOOG na na na na']
['GOOGL na na na na']
['SMCP na na na na']
['ATEC na na na na']
['ALPN na na na na']
['ALTA na na na na']
['ALTR na na na na']
['ATHE na na na na']
['AGC na na na na']
['AGCUU na na na na']
['AGCWW na na na na']
['ALT na na na na']
['ASPS na na na na']
['ALTUU na na na na']
['AIMC na na na na']
['ALTM na na na na']
['ALXO na na na na']
['AMAL na na na na']
['AMRN na na na na']
['AMRK na na na na']
['AMZN na na na na']
['AMBC na na na na']
['AMBA na na na na']
['AMCX na na na na']
['AMCI na na na na']
['AMCIU na na na na']
['AMCIW na na na na']
['DOX na na na na']
['AMED na na na na']
['AMTB na na na na']
['AMTBB na na na na']
['UHAL na na na na']
['AMRH na na na na']
['AMRHW na na na na']
['ATAX na na na na']
['AMOV na na na na']
['AAL na na na na']
['AEP na na na na']
['AEPPL na na na na']
['AEPPZ na na na na']
['AFIN na na na na']
['AFINO na na na na']
['AFINP na na na na']
['AMNB na na na na']
['ANAT na na na na']
['AOUT na na na na']
['APEI na na na na']
['AREC na na na na']
['AMRB na na na na']
['AMSWA na na na na']
['AMSC na na na na']
['AVCT na na na na']
['AVCTW na na na na']
['AMWD na na na na']
['CRMT na na na na']
['ABCB na na na na']
['AMSF na na na na']
['ASRV na na na na']
['ASRVP na na na na']
['ATLO na na na na']
['AMST na na na na']
['AMGN na na na na']
['FOLD na na na na']
['AMKR na na na na']
['POWW na na na na']
['AMPH na na na na']
['IBUY na na na na']
['AMHC na na na na']
['AMHCU na na na na']
['AMHCW na na na na']
['AMYT na na na na']
['ASYS na na na na']
['AMRS na na na na']
['ADI na na na na']
['ANAB na na na na']
['AVXL na na na na']
['ANCN na na na na']
['ANDA na na na na']
['ANDAR na na na na']
['ANDAU na na na na']
['ANDAW na na na na']
['ANGI na na na na']
['ANGO na na na na']
['ANIP na na na na']
['ANIK na na na na']
['ANIX na na na na']
['ANNX na na na na']
['ANPC na na na na']
['ANSS na na na na']
['ATRS na na na na']
['AEHL na na na na']
['ATEX na na na na']
['APA na na na na']
['APLS na na na na']
['APXT na na na na']
['APXTU na na na na']
['APXTW na na na na']
['APHA na na na na']
['APOG na na na na']
['APEN na na 71.8746 13657263.0000']
['AINV 9.5780 0.3300 66.1215 83527205.0000']
['AMEH 18.1215 na na na']
['APPF na na na na']
['APPN na na na na']
['AAPL na na na na']
['APDN na na na na']
['AGTC na na na na']
['AMAT na na na na']
['AMTI na na na na']
['AAOI na na na na']
['APLT na na na na']
['AUVI na na na na']
['APRE na na na na']
['APVO na na na na']
['APTX na na na na']
['APM na na na na']
['APTO na na na na']
['APYX na na na na']
['AQMS na na na na']
['AQB na na na na']
['AQST na na na na']
['ARAV na na na na']
['ABUS na na na na']
['ABIO na na na na']
['RKDA na na na na']
['ARCB na na na na']
['ACGL na na na na']
['ACGLO na na na na']
['ACGLP na na na na']
['FUV na na na na']
['ACTC na na na na']
['ACTCU na na na na']
['ACTCW na na na na']
['ARCE na na na na']
['ARCT na na na na']
['ARQT na na na na']
['ARDX na na na na']
['ARNA na na na na']
['ARCC na na na na']
['ARGX na na na na']
['ARDS na na na na']
['ARKR na na na na']
['ARKO na na na na']
['ARKOW na na na na']
['ARRY na na na na']
['DWCR na na na na']
['DWAT na na na na']
['AROW na na na na']
['ARWR na na na na']
['ARTL na na na na']
['ARTLW na na na na']
['ARTNA na na na na']
['AACQ na na na na']
['AACQU na na na na']
['AACQW na na na na']
['ARTW na na na na']
['ARVN na na na na']
['ARYA na na na na']
['ASND na na na na']
['APWC na na na na']
['ASLN na na na na']
['ASML na na na na']
['ASPU na na na na']
['AZPN na na na na']
['AWH na na na na']
['ASMB na na na na']
['ASRT na na na na']
['ASTE na na na na']
['AZN na na na na']
['ATRO na na na na']
['ALOT na na na na']
['ASTC na na na na']
['ASUR na na na na']
['AACG na na na na']
['ATRA na na na na']
['AVIR na na na na']
['ATNX na na na na']
['ATHX na na na na']
['ATHA na na na na']
['ATIF na na na na']
['AAME na na na na']
['ACBI na na na na']
['AUB na na na na']
['AUBAP na na na na']
['AY na na na na']
['ATLC na na na na']
['AAWW na na na na']
['ATCX na na na na']
['TEAM na na na na']
['ATNI na na na na']
['ATOM na na na na']
['ATOS na na na na']
['BCEL na na na na']
['ATRC na na na na']
['ATRI na na na na']
['LIFE na na na na']
['AUBN na na na na']
['AUUD na na na na']
['AUUDW na na na na']
['AUDC 29.0160 -0.1916 40.5768 60045438.0000']
['AEYE 18.6700 na na na']
['AUPH na na na na']
['EARS na na na na']
['JG na na na na']
['ADSK na na na na']
['AUTL na na na na']
['ADP na na na na']
['AUTO na na na na']
['AVDL na na na na']
['AHI na na na na']
['AVCO na na na na']
['ATXI na na na na']
['AVEO na na na na']
['AVNW na na na na']
['CDMO na na na na']
['CDMOP na na na na']
['AVID na na na na']
['RNA na na na na']
['AVGR na na na na']
['CAR na na na na']
['RCEL na na na na']
['AVT na na na na']
['AVRO na na na na']
['AWRE na na na na']
['ACLS na na na na']
['AXLA na na na na']
['AXGN na na na na']
['AAXN na na na na']
['AXNX na na na na']
['AXSM na na na na']
['AXTI na na na na']
['AYLA na na na na']
['AYRO na na na na']
['AYTU na na na na']
['AZYO na na na na']
['AZRX na na na na']
['RILY na na na na']
['RILYG na na na na']
['RILYH na na na na']
['RILYI na na na na']
['RILYL na na na na']
['RILYM na na na na']
['RILYN na na na na']
['RILYO na na na na']
['RILYP na na na na']
['RILYZ na na na na']
['BOSC na na na na']
['BIDU na na na na']
['BCPC na na na na']
['BLDP na na na na']
['BANF na na na na']
['BANFP na na na na']
['BAND na na na na']
['BFC na na na na']
['BOCH na na na na']
['BMRC na na na na']
['BMLP na na na na']
['BKSC na na na na']
['BOTJ na na na na']
['OZK na na na na']
['BSVN na na na na']
['BFIN na na na na']
['BWFG na na na na']
['BANR na na na na']
['BZUN na na na na']
['DFVL na na na na']
['DFVS na na na na']
['BBSI na na na na']
['GOLD na na na na']
['BSET na na na na']
['ZTEST na na na na']
['BXRX na na na na']
['BCML na na na na']
['BBQ na na na na']
['BCBP na na na na']
['BLSA na na na na']
['BCTG na na na na']
['BECN na na na na']
['BEEM na na na na']
['BEEMW na na na na']
['BEAM na na na na']
['BBGI na na na na']
['BBBY na na na na']
['BGNE na na na na']
['BELFA na na na na']
['BELFB na na na na']
['BLPH na na na na']
['BLCM na na na na']
['BLU na na na na']
['BNFT na na na na']
['BENE na na na na']
['BENEU na na na na']
['BNTC na na na na']
['BSY na na na na']
['BLI na na na na']
['BRY na na na na']
['BWACU na na na na']
['BWMX na na na na']
['XAIR na na na na']
['BYND na na na na']
['BYSI na na na -8087620.0000']
['BGCP 3.6359 0.1563 71.0893 91485621.0000']
['BCYC 19.5640 -0.0631 52.3717 na']
['BGFV na na na na']
['BRPA na na na na']
['BRPAR na na na na']
['BRPAU na na na na']
['BRPAW na na na na']
['BIGC na na na na']
['BILI na na na na']
['BASI na na na na']
['BCAB na na na na']
['BCDA na na na na']
['BCDAW na na na na']
['BIOC na na na na']
['BCRX na na na na']
['BDSI na na na na']
['BDSX na na na na']
['BFRA na na na na']
['BIIB na na na na']
['BHTG na na na na']
['BKYI na na na na']
['BIOL na na na na']
['BLFS na na na na']
['BLRX na na na na']
['BMRN na na na na']
['BMRA na na na na']
['BNGO na na na na']
['BNGOW na na na na']
['BVXV na na na na']
